#,"BUS #",TRIP,NAME,ID,"SCAN TIME"
1,1,"KG TRIP","Anoop Son1",AD11,13.57
2,1,"MORNING TRIP (All Students)","Ashna Son 1",AD2,13.56
3,1,"KG TRIP","Pramodh Son 2",AD14,13.57
4,1,"MORNING TRIP (All Students)","Ramya Son 1",AD6,13.56
5,1,"MORNING TRIP (All Students)","Ramya testtesttt",AD666,13.56
6,1,"MORNING TRIP (All Students)","Roy Son 1",AD5,13.56
7,1,"MORNING TRIP (All Students)","Ryan Uvanse",AD9,13.55
8,1,"KG TRIP","Ryan Uvanse",AD9,13.57
9,1,"KG TRIP","Sumesh Daughter 1",AD16,13.57
10,1,"MORNING TRIP (All Students)","Swathi Son 1",AD7,13.56
11,1,"KG TRIP","Swathi Son 2",AD15,13.57
12,1,"MORNING TRIP (All Students)","Syed Muhammad Abdullah Zaidi",AD10,13.56
13,1,"KG TRIP","Syed Muhammad Abdullah Zaidi",AD10,13.57
