#,Name,"REG #","CLASS & SECTION",Time,"IN / OUT"
1,"Swathi Daughter 1",16,3-C,14.07,out
2,"Ramya Daughter 1",14,3-C,14.17,out
3,"Ashna Son 3",15,3-A,14.08,out
4,"Afsaan Mohammed Aftab",18,3-C,14.03,out
5,"Afsaan Mohammed Aftab",18,3-C,14.51,in
6,"Meghna Ajay",17,3-A,14.48,in
7,"Swathi Daughter 1",16,3-C,14.42,in
8,"Ashna Son 3",15,3-A,14.39,in
9,"Ramya Daughter 1",14,3-C,14.34,in
10,"Anoop Daughter 2",11,3-C,14.06,out
11,"Ramya Son 1",13,3-C,14.04,out
12,"Ramya Son 1",13,3-C,14.22,in
13,"Anoop Daughter 2",11,3-C,14.18,in
14,"Roy Son 1",ADS161642,1-A,14.36,in
15,"Anoop Son 2",ADS150472,2-B,14.33,in
16,"Ramya Son 1",12,3-C,14.53,out
17,"Ramya Son 1",12,3-C,14.41,in
