#,"Bus #",Trip,"Student Name","Student ID","Scan Time"
1,1,"MORNING TRIP (All Students)","Ansar Son 1",ADS161745,12.49
2,1,"MORNING TRIP (All Students)","Pramodh Son 1",ADS161736,12.00
3,1,"MORNING TRIP (All Students)","Pramodh Son 1",ADS161736,12.00
4,1,"MORNING TRIP (All Students)","Pramodh Son 2",ADS161754,12.49
5,1,"MORNING TRIP (All Students)","Roy Daughter 1",NFCD,12.50
6,1,"MORNING TRIP (All Students)","Ryan Uvanse",ADS160908,12.51
7,1,"MORNING TRIP (All Students)","Ryan Uvanse",ADS160908,12.51
8,1,"MORNING TRIP (All Students)","Sumesh Daughter 1",ADS161473,12.56
9,1,"MORNING TRIP (All Students)","Swathi Son 2",ADS172468,12.02
10,1,"MORNING TRIP (All Students)","Syed Muhammad Abdullah Zaidi",ADS161608,12.53
