#,"Class & Section","Student Name","Student ID",Time,"Device ID"
1,3-C,"Afsaan Mohammed Aftab",18,10.25,"office device"
2,3-C,"Afsaan Mohammed Aftab",18,10.19,"office device"
3,3-C,"Anoop Daughter 2",11,9.01,"office device"
4,1-L,"Anoop Son 1",123123,9.40,"office device"
5,3-C,"Ramya Daughter 1",14,9.41,"office device"
6,3-C,"Ramya Son 1",12,9.08,"office device"
7,3-C,"Ramya Son 1",12,13.21,"office device"
8,3-C,"Ramya Son 1",12,13.41,"office device"
9,3-C,"Ramya Son 5",13,9.24,"office device"
10,3-C,"Swathi Daughter 1",16,9.50,"office device"
